customer_id,total_orders,total_revenue,avg_order_value,recency_days,tenure_days,churn_label
12713,1,848.55,848.55,0,0,0
14569,1,227.39,227.39,1,0,0
15520,1,343.5,343.5,1,0,0
13298,1,360.0,360.0,1,0,0
13436,1,196.89000000000001,196.89000000000001,1,0,0
15471,1,469.48,469.48,2,0,0
14087,1,194.42,194.42,2,0,0
14204,1,161.03,161.03,2,0,0
15195,1,3861.0,3861.0,2,0,0
14578,1,168.63000000000002,168.63000000000002,3,0,0
17914,1,336.42999999999989,336.42999999999989,3,0,0
16569,1,124.2,124.2,3,0,0
15992,1,41.989999999999995,41.989999999999995,3,0,0
15318,1,312.62,312.62,3,0,0
12650,1,314.44,314.44,3,0,0
12478,1,680.99,680.99,3,0,0
16528,1,244.41000000000005,244.41000000000005,3,0,0
12442,1,172.06,172.06,3,0,0
13790,1,348.79999999999995,348.79999999999995,4,0,0
18015,1,120.03,120.03,4,0,0
15097,1,248.08000000000004,248.08000000000004,4,0,0
14219,1,89.940000000000012,89.940000000000012,4,0,0
16597,1,90.04,90.04,4,0,0
12367,1,168.9,168.9,4,0,0
17383,1,199.29000000000002,199.29000000000002,4,0,0
17936,1,389.84,389.84,5,0,0
15773,1,635.68000000000006,635.68000000000006,5,0,0
13153,1,486.22,486.22,5,0,0
16988,1,126.12,126.12,5,0,0
16535,1,593.75,593.75,5,0,0
13017,1,204.0,204.0,7,0,0
18174,1,104.0,104.0,7,0,0
12587,1,144.0,144.0,7,0,0
17942,1,77.500000000000014,77.500000000000014,7,0,0
13560,1,174.36999999999998,174.36999999999998,7,0,0
12558,1,269.96,269.96,7,0,0
15539,1,538.45999999999992,538.45999999999992,7,0,0
16789,1,80.8,80.8,8,0,0
14804,1,353.27000000000004,353.27000000000004,8,0,0
15904,1,164.67999999999998,164.67999999999998,8,0,0
12953,1,329.85,329.85,9,0,0
12966,1,160.18,160.18,9,0,0
18058,1,170.15999999999997,170.15999999999997,9,0,0
17911,1,366.23,366.23,9,0,0
13428,1,218.47000000000003,218.47000000000003,10,0,0
15619,1,336.40000000000003,336.40000000000003,10,0,0
15783,1,246.3,246.3,10,0,0
15148,1,301.28999999999996,301.28999999999996,10,0,0
15790,1,220.85,220.85,10,0,0
14349,1,133.50000000000003,133.50000000000003,10,0,0
14601,1,213.96,213.96,10,0,0
13349,1,247.32000000000002,247.32000000000002,10,0,0
12479,1,527.2,527.2,11,0,0
15721,1,507.08,507.08,11,0,0
15540,1,213.3,213.3,11,0,0
17359,1,127.86,127.86,11,0,0
17379,1,404.66,404.66,11,0,0
17806,1,546.04,546.04,11,0,0
16800,1,1201.49,1201.49,11,0,0
12660,1,245.10000000000002,245.10000000000002,11,0,0
14480,1,279.05,279.05,11,0,0
13844,1,361.62,361.62,11,0,0
13188,1,114.60000000000001,114.60000000000001,11,0,0
14093,1,442.8499999999998,442.8499999999998,12,0,0
16024,1,251.23999999999998,251.23999999999998,12,0,0
14954,1,336.16999999999996,336.16999999999996,12,0,0
17885,1,190.18999999999994,190.18999999999994,12,0,0
13332,1,350.90000000000003,350.90000000000003,14,0,0
16856,1,35.400000000000006,35.400000000000006,14,0,0
14703,1,318.17,318.17,14,0,0
12531,1,125.22000000000001,125.22000000000001,14,0,0
14966,1,191.32000000000002,191.32000000000002,14,0,0
17385,1,261.11000000000007,261.11000000000007,14,0,0
14946,1,100.9,100.9,14,0,0
18184,1,49.8,49.8,15,0,0
17247,1,282.19,282.19,15,0,0
16482,1,220.62000000000003,220.62000000000003,15,0,0
14756,1,738.95999999999981,738.95999999999981,15,0,0
17458,1,316.49999999999994,316.49999999999994,15,0,0
15428,1,93.78,93.78,15,0,0
17767,1,271.2,271.2,15,0,0
13638,1,122.64,122.64,15,0,0
17727,1,1060.2499999999995,1060.2499999999995,15,0,0
15725,1,415.25000000000006,415.25000000000006,15,0,0
14675,1,604.75,604.75,16,0,0
14581,1,138.6,138.6,16,0,0
18084,1,90.47999999999999,90.47999999999999,16,0,0
17600,1,161.67000000000002,161.67000000000002,17,0,0
13322,1,199.48,199.48,17,0,0
12920,1,164.23,164.23,17,0,0
13403,1,75.0,75.0,17,0,0
15699,1,309.65,309.65,17,0,0
18249,1,95.34,95.34,17,0,0
15634,1,243.55000000000007,243.55000000000007,17,0,0
14424,1,322.08,322.08,17,0,0
16956,1,308.74,308.74,17,0,0
12586,1,196.94,196.94,17,0,0
17297,1,131.78,131.78,17,0,0
13986,1,320.46,320.46,17,0,0
14300,1,43.2,43.2,18,0,0
16366,1,327.30000000000007,327.30000000000007,18,0,0
15857,1,297.0,297.0,18,0,0
17253,1,178.26,178.26,18,0,0
15567,1,186.01,186.01,18,0,0
15645,1,612.01,612.01,18,0,0
16406,1,163.06999999999996,163.06999999999996,18,0,0
12795,1,430.48,430.48,18,0,0
12349,1,1757.5499999999995,1757.5499999999995,18,0,0
12658,1,686.05000000000007,686.05000000000007,18,0,0
17010,1,195.36,195.36,18,0,0
12984,1,97.5,97.5,18,0,0
13739,1,216.9,216.9,18,0,0
15115,1,340.11,340.11,18,0,0
18110,1,236.3,236.3,19,0,0
13832,1,52.199999999999996,52.199999999999996,19,0,0
17561,1,167.62000000000003,167.62000000000003,19,0,0
16666,1,118.97999999999999,118.97999999999999,19,0,0
13142,1,307.09000000000003,307.09000000000003,19,0,0
14052,1,225.36,225.36,19,0,0
17636,1,285.56,285.56,19,0,0
15988,1,158.03,158.03,19,0,0
14881,1,255.40000000000003,255.40000000000003,19,0,0
